[2026-05-05 15:58:14.747] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:14.760] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:14.773] tag=0x0007  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:58:14.784] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:14.796] tag=0x0007  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:58:14.809] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:14.820] tag=0x0007  rs= 0  na= 1 | 1001 : 6576
[2026-05-05 15:58:14.832] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:14.845] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:14.857] tag=0x0007  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:58:14.869] tag=0x0007  rs= 0  na= 1 | 1001 : 6604
[2026-05-05 15:58:14.882] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:14.894] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:14.907] tag=0x0007  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:58:14.919] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:58:14.931] tag=0x0007  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:58:14.944] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:58:14.956] tag=0x0007  rs= 0  na= 1 | 1001 : 6548
[2026-05-05 15:58:14.968] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:58:14.981] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:58:14.993] tag=0x0007  rs= 0  na= 1 | 1001 : 6623
[2026-05-05 15:58:15.005] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:15.018] tag=0x0007  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:58:15.030] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:15.042] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:58:15.055] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:58:15.067] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
[2026-05-05 15:58:15.079] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:15.092] tag=0x0007  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:58:15.104] tag=0x0007  rs= 0  na= 1 | 1001 : 6566
[2026-05-05 15:58:15.116] tag=0x0007  rs= 0  na= 1 | 1001 : 6595
[2026-05-05 15:58:15.129] tag=0x0007  rs= 0  na= 1 | 1001 : 6613
[2026-05-05 15:58:15.141] tag=0x0007  rs= 0  na= 1 | 1001 : 6585
[2026-05-05 15:58:15.153] tag=0x0007  rs= 0  na= 1 | 1001 : 6557
