[2026-05-05 15:43:33.000] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:33.012] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:33.024] tag=0x0001  rs= 0  na= 1 | 1008 : 6670
[2026-05-05 15:43:33.037] tag=0x0001  rs= 0  na= 1 | 1008 : 6613
[2026-05-05 15:43:33.050] tag=0x0001  rs= 0  na= 1 | 1008 : 6660
[2026-05-05 15:43:33.063] tag=0x0001  rs= 0  na= 1 | 1008 : 6660
[2026-05-05 15:43:33.073] tag=0x0001  rs= 0  na= 1 | 1008 : 6623
[2026-05-05 15:43:33.085] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:33.097] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:33.109] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:33.122] tag=0x0001  rs= 0  na= 1 | 1008 : 6623
[2026-05-05 15:43:33.135] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:33.148] tag=0x0001  rs= 0  na= 1 | 1008 : 6670
[2026-05-05 15:43:33.159] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:33.170] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:33.183] tag=0x0001  rs= 0  na= 1 | 1008 : 6660
[2026-05-05 15:43:33.195] tag=0x0001  rs= 0  na= 1 | 1008 : 6688
[2026-05-05 15:43:33.207] tag=0x0001  rs= 0  na= 1 | 1008 : 6613
[2026-05-05 15:43:33.219] tag=0x0001  rs= 0  na= 1 | 1008 : 6670
[2026-05-05 15:43:33.231] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:33.243] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:33.256] tag=0x0001  rs= 0  na= 1 | 1008 : 6660
[2026-05-05 15:43:33.268] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:33.281] tag=0x0001  rs= 0  na= 1 | 1008 : 6679
[2026-05-05 15:43:33.293] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:33.304] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:33.317] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:33.330] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
