[2026-05-05 15:38:15.862] tag=0x0001  rs= 0  na= 1 | 1005 : 6557
[2026-05-05 15:38:15.874] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:15.887] tag=0x0001  rs= 0  na= 1 | 1005 : 6585
[2026-05-05 15:38:15.899] tag=0x0001  rs= 0  na= 1 | 1005 : 6566
[2026-05-05 15:38:15.911] tag=0x0001  rs= 0  na= 1 | 1005 : 6585
[2026-05-05 15:38:15.923] tag=0x0001  rs= 0  na= 1 | 1005 : 6585
[2026-05-05 15:38:15.936] tag=0x0001  rs= 0  na= 1 | 1005 : 6595
[2026-05-05 15:38:15.947] tag=0x0001  rs= 0  na= 1 | 1005 : 6595
[2026-05-05 15:38:15.960] tag=0x0001  rs= 0  na= 1 | 1005 : 6585
[2026-05-05 15:38:15.972] tag=0x0001  rs= 0  na= 1 | 1005 : 6538
[2026-05-05 15:38:15.984] tag=0x0001  rs= 0  na= 1 | 1005 : 6557
[2026-05-05 15:38:15.996] tag=0x0001  rs= 0  na= 1 | 1005 : 6604
[2026-05-05 15:38:16.008] tag=0x0001  rs= 0  na= 1 | 1005 : 6566
[2026-05-05 15:38:16.021] tag=0x0001  rs= 0  na= 1 | 1005 : 6566
[2026-05-05 15:38:16.034] tag=0x0001  rs= 0  na= 1 | 1005 : 6566
[2026-05-05 15:38:16.045] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:16.057] tag=0x0001  rs= 0  na= 1 | 1005 : 6566
[2026-05-05 15:38:16.069] tag=0x0001  rs= 0  na= 1 | 1005 : 6557
[2026-05-05 15:38:16.081] tag=0x0001  rs= 0  na= 1 | 1005 : 6548
[2026-05-05 15:38:16.094] tag=0x0001  rs= 0  na= 1 | 1005 : 6557
[2026-05-05 15:38:16.106] tag=0x0001  rs= 0  na= 1 | 1005 : 6595
[2026-05-05 15:38:16.118] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:16.130] tag=0x0001  rs= 0  na= 1 | 1005 : 6585
[2026-05-05 15:38:16.142] tag=0x0001  rs= 0  na= 1 | 1005 : 6529
[2026-05-05 15:38:16.156] tag=0x0001  rs= 0  na= 1 | 1005 : 6520
[2026-05-05 15:38:16.167] tag=0x0001  rs= 0  na= 1 | 1005 : 6557
[2026-05-05 15:38:16.179] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:16.191] tag=0x0001  rs= 0  na= 1 | 1005 : 6557
[2026-05-05 15:38:16.203] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:16.216] tag=0x0001  rs= 0  na= 1 | 1005 : 6557
[2026-05-05 15:38:16.228] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:16.240] tag=0x0001  rs= 0  na= 1 | 1005 : 6585
[2026-05-05 15:38:16.252] tag=0x0001  rs= 0  na= 1 | 1005 : 6557
[2026-05-05 15:38:16.264] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:16.276] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:16.289] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:16.301] tag=0x0001  rs= 0  na= 1 | 1005 : 6623
[2026-05-05 15:38:16.313] tag=0x0001  rs= 0  na= 1 | 1005 : 6566
[2026-05-05 15:38:16.325] tag=0x0001  rs= 0  na= 1 | 1005 : 6595
[2026-05-05 15:38:16.337] tag=0x0001  rs= 0  na= 1 | 1005 : 6595
[2026-05-05 15:38:16.350] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:16.362] tag=0x0001  rs= 0  na= 1 | 1005 : 6566
[2026-05-05 15:38:16.374] tag=0x0001  rs= 0  na= 1 | 1005 : 6566
[2026-05-05 15:38:16.386] tag=0x0001  rs= 0  na= 1 | 1005 : 6566
[2026-05-05 15:38:16.398] tag=0x0001  rs= 0  na= 1 | 1005 : 6595
[2026-05-05 15:38:16.410] tag=0x0001  rs= 0  na= 1 | 1005 : 6557
